size,solutionFound,time
4,1,0.00010180473327636719
4,0,5.8650970458984375e-05
4,1,5.316734313964844e-05
4,1,9.632110595703125e-05
4,0,5.91278076171875e-05
4,1,8.511543273925781e-05
4,1,8.249282836914062e-05
4,1,5.7220458984375e-05
4,1,8.630752563476562e-05
4,1,5.435943603515625e-05
4,1,0.00010180473327636719
4,1,5.507469177246094e-05
4,1,5.9604644775390625e-05
4,1,5.412101745605469e-05
4,1,6.842613220214844e-05
4,1,8.20159912109375e-05
4,1,9.107589721679688e-05
4,0,5.4836273193359375e-05
4,0,5.7220458984375e-05
4,0,6.246566772460938e-05
4,0,5.888938903808594e-05
4,0,4.696846008300781e-05
4,1,8.869171142578125e-05
4,0,3.361701965332031e-05
4,1,0.00011610984802246094
4,0,6.079673767089844e-05
4,1,6.866455078125e-05
4,0,4.76837158203125e-05
4,0,6.0558319091796875e-05
4,1,0.00010776519775390625
4,1,8.368492126464844e-05
4,1,8.511543273925781e-05
4,1,8.7738037109375e-05
4,0,4.00543212890625e-05
4,0,5.316734313964844e-05
4,1,6.890296936035156e-05
4,1,0.00010848045349121094
4,1,0.00014352798461914062
4,1,9.393692016601562e-05
4,1,5.888938903808594e-05
4,1,5.698204040527344e-05
4,0,5.9604644775390625e-05
4,1,0.00011181831359863281
4,0,4.410743713378906e-05
4,0,7.104873657226562e-05
4,1,6.842613220214844e-05
4,1,0.00010013580322265625
4,1,8.034706115722656e-05
4,0,5.435943603515625e-05
4,1,8.0108642578125e-05
4,0,6.628036499023438e-05
4,1,9.250640869140625e-05
4,1,0.00010037422180175781
4,0,4.696846008300781e-05
4,1,0.00011086463928222656
4,1,0.0001049041748046875
4,1,0.00010085105895996094
4,0,3.838539123535156e-05
4,1,0.00011229515075683594
4,0,6.127357482910156e-05
4,0,4.887580871582031e-05
4,1,6.842613220214844e-05
4,1,0.00012111663818359375
4,0,5.841255187988281e-05
4,0,3.62396240234375e-05
4,1,8.082389831542969e-05
4,1,6.580352783203125e-05
4,1,9.870529174804688e-05
4,1,0.00011420249938964844
4,1,0.0001289844512939453
4,0,4.935264587402344e-05
4,1,9.751319885253906e-05
4,1,7.700920104980469e-05
4,1,9.942054748535156e-05
4,1,9.226799011230469e-05
4,1,0.00011324882507324219
4,1,6.246566772460938e-05
4,0,4.9591064453125e-05
4,0,6.103515625e-05
4,1,0.00010848045349121094
